id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
366,No candidate mentioned,0.39399999999999996,yes,0.6277,Neutral,0.6277,None of the above,0.39399999999999996,,SVNDPM_CRE,,0,,,Speed Dating For A New President? Interesting Article on the #GOPDebate. :-)  http://t.co/qNtY6HdHr3,,2015-08-07 09:52:03 -0700,629696514932084736,"Las Vegas, NV",Pacific Time (US & Canada)
367,No candidate mentioned,1.0,yes,1.0,Neutral,0.6359,None of the above,1.0,,GodandtheBear,,1,,,"RT @BradBannon: ""Was GOP Debate a Campaign Preview or Rearview?"" by @BradBannon on @LinkedIn https://t.co/n0mko8qQIE #UniteBlue #P2 #POTUS …",,2015-08-07 09:52:02 -0700,629696514063929344,"Pennsylvania, USA",
368,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,elvislver56,,2,,,"RT @DykstraDame: The #GOPDebate was like a super crappy cage fight of blustering, bumbling, old wrinkled-up tuckus clinchers without the ca…",,2015-08-07 09:52:01 -0700,629696508196028416,"Garden Grove, Ca",
369,Mike Huckabee,1.0,yes,1.0,Negative,1.0,None of the above,0.6717,,melissagowens02,,676,,,RT @GovMikeHuckabee: The military is not a social experiment. The purpose of the military is to kill people and break things. #ImWithHuck #…,,2015-08-07 09:52:00 -0700,629696503364382720,,
370,No candidate mentioned,1.0,yes,1.0,Neutral,1.0,None of the above,1.0,,BioAnnie1,,10,,,RT @bennydiego: BREAKING: It's a tie for the winners from the #GOPDebate http://t.co/8iM3NfxJIa,,2015-08-07 09:52:00 -0700,629696502550532096,,Hawaii
371,No candidate mentioned,0.4233,yes,0.6506,Neutral,0.6506,None of the above,0.4233,,bigratsgoboom,,0,,,"@TVMoJoe Just curious, have I missed your ratings tweet about the #GOPDebate?",,2015-08-07 09:51:59 -0700,629696501724381184,America,Eastern Time (US & Canada)
372,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,LifeLuvr1205,,0,,,@megynkelly #GOPDebate Kelly is no role model doesn't speak for me or my prof friends Rosie? Now a real woman @CarlyFiorina Kelly is a poser,,2015-08-07 09:51:58 -0700,629696497966170112,,Pacific Time (US & Canada)
373,Donald Trump,1.0,yes,1.0,Negative,0.6966,None of the above,1.0,,roaritsjenn,,0,,,donald trump... #whatajoke #GOPDebate,,2015-08-07 09:51:58 -0700,629696495500021760,NY,Atlantic Time (Canada)
374,No candidate mentioned,0.4646,yes,0.6816,Negative,0.6816,FOX News or Moderators,0.4646,,DanirysNajaryen,,910,,,RT @funnyordie: This feels like FOX News tried to be the cool parents that let their kids have a party &amp; now the house is on fire. #GOPDeba…,,2015-08-07 09:51:57 -0700,629696492190760960,"Bonaire, GA",Pacific Time (US & Canada)
375,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,summer0655,,3,,,RT @patriotmom61: It's unconscionable that @FoxNews moderators asked ALL the candidates except Santorum foreign policy&amp; nat sec questions i…,,2015-08-07 09:51:57 -0700,629696491825811456,,
376,Mike Huckabee,1.0,yes,1.0,Neutral,0.6237,None of the above,1.0,,SSNjl,,6,,,"RT @ChipMarks14: ""The military is not a social experiment. Its purpose is to kill people and break things.""
- Mike Huckabee 

#GOPDebate",,2015-08-07 09:51:57 -0700,629696491154608128,St.George Utah,Central Time (US & Canada)
377,No candidate mentioned,0.4553,yes,0.6748,Negative,0.6748,Abortion,0.4553,,Nathnjackson,,376,,,RT @CrissGhoul: YOU ARE NOT PRO LIFE. YOU ARE PRO CONTROL. YOU ARE PRO RELIGION. YOU ARE PRO YOU.  THIS IS NEVER ABOUT THE MOTHER. #GOPDeba…,,2015-08-07 09:51:56 -0700,629696489648828421,"Seattle, WA",Pacific Time (US & Canada)
378,No candidate mentioned,0.4179,yes,0.6465,Negative,0.6465,None of the above,0.4179,,JVER1,,12,,,"RT @RedStateJake: Solid debate tips - take a gander, @GOP:

http://t.co/4PuFJ36dLa

#GOPDebate #teaparty 
#tcot #tlot #icon http://t.co/wpi…",,2015-08-07 09:51:56 -0700,629696488684298240,,Eastern Time (US & Canada)
379,John Kasich,0.4444,yes,0.6667,Positive,0.6667,Jobs and Economy,0.4444,,kevinburger72,,75,,,RT @JohnKasich: Creating jobs is our greatest moral purpose because they strengthen our families &amp; communities. #GOPDebate http://t.co/80Xe…,,2015-08-07 09:51:56 -0700,629696487883210752,,Central Time (US & Canada)
380,Ted Cruz,1.0,yes,1.0,Positive,1.0,None of the above,1.0,,jma928,,2,,,"RT @nevagphx1: @CarlyFiorina Magnificent at the first #GOPDebate. I support Ted Cruz as POTUS, but would support you as running mate or POT…",,2015-08-07 09:51:56 -0700,629696487631491072,Pa,
381,No candidate mentioned,1.0,yes,1.0,Negative,0.6905,Women's Issues (not abortion though),1.0,,parkerc2112,,0,,,If you're a woman who supports R party please wake up and get informed. #GOPDebate,,2015-08-07 09:51:55 -0700,629696484913491968,The Dude Abides,
382,John Kasich,1.0,yes,1.0,Positive,0.3636,LGBT issues,0.7045,,spdnyc,,0,,,Kasich the clear standout among #GOPDebate cannon fodder. But his record contradicts statements on LGBT acceptance: http://t.co/YNucKULnjV,,2015-08-07 09:51:55 -0700,629696482795499520,"New York, NY",Eastern Time (US & Canada)
383,No candidate mentioned,1.0,yes,1.0,Neutral,1.0,None of the above,1.0,,CorieHaynes,,0,,,"Primary is still a long way away, so my favorites could change, and I hope we see more of these candidates than just sound bites. #GOPDebate",,2015-08-07 09:51:54 -0700,629696481256079360,"Hernando, MS",Central Time (US & Canada)
384,No candidate mentioned,1.0,yes,1.0,Negative,0.6989,None of the above,1.0,,FieldGeorge,,0,,,"The anti- @CarlyFiorina unit of the #Clinton Personal Destruction Force is now working 24/7, I'm sure. #GOPDebate https://t.co/p0dT5s5TIY",,2015-08-07 09:51:54 -0700,629696478903181312,"Boston MA, USA",Eastern Time (US & Canada)
385,,0.2282,yes,0.3523,Neutral,0.3523,,0.2282,,melissagowens02,,177,,,"RT @GovMikeHuckabee: As President, I'll end the national disgrace of failing to care for vets who sacrificed for our country -&gt; http://t.co…",,2015-08-07 09:51:53 -0700,629696476982214657,,
386,No candidate mentioned,0.6495,yes,1.0,Neutral,0.6701,None of the above,0.6495,,JaysWorldLive,,0,,,At least he was honest about it. #GOPDebate  https://t.co/7Bo2pRPmX2,,2015-08-07 09:51:53 -0700,629696474801160192,"Tamap, FL",Eastern Time (US & Canada)
387,No candidate mentioned,0.4603,yes,0.6784,Negative,0.3618,None of the above,0.4603,,stedanchick,,249,,,"RT @Marmel: ""My mother worked...""
- Nobody 
#GOPDebate",,2015-08-07 09:51:52 -0700,629696469151387648,UK,
388,Donald Trump,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,0.3547,,FrostyGPW,,2,,,RT @NewsWriter2: So we have Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell f…,,2015-08-07 09:51:51 -0700,629696468345950208,Tennessee,Central Time (US & Canada)
389,No candidate mentioned,0.4495,yes,0.6705,Negative,0.375,None of the above,0.4495,,rosaroja4rev,,0,,,#GOPDebate REAL “AMERICAN IDOL”: ELECTIONS AS AUDITIONS: Whose Consent Counts &amp; How Decisions Are Made... http://t.co/bLeoBY7r7N,,2015-08-07 09:51:51 -0700,629696466760658944,,
390,No candidate mentioned,1.0,yes,1.0,Negative,0.7002,None of the above,1.0,,brianmzimmer,,0,,,"Elections, Democracy, and political debates as entertainment.  Not a particularly sterling quality of our federal republic.  #GOPDebate",,2015-08-07 09:51:50 -0700,629696462482309120,The Center of the Known World,Quito
391,Chris Christie,0.6595,yes,1.0,Negative,0.6936,None of the above,1.0,,Kelly62u,,0,,,@ChrisChristie @RandPaul Americans fear NOT. People who live in fear are not free and have no liberty. Fear is unAmerican #GOPDebate,,2015-08-07 09:51:50 -0700,629696461903532032,"DFW, TX ",Central Time (US & Canada)
392,No candidate mentioned,1.0,yes,1.0,Neutral,0.6742,None of the above,1.0,,Moonbootica,,15,,,RT @BennettCartoons: 8/7/2015- The Glass Slipper #GOPDebate #GOPPrimaries #RepublicanField http://t.co/fyhZzN5qP3,,2015-08-07 09:51:50 -0700,629696460385337344,UK,London
393,Donald Trump,1.0,yes,1.0,Positive,0.6489,None of the above,0.6489,,the626killa,,9,,,"RT @1216BJ: #GOPDebate: Carly Fiorina Dominates Social Media, Even Beating Out Trump - Fox Nation http://t.co/VUeEveRdDy",,2015-08-07 09:51:49 -0700,629696457327689732,"Worcester, MA",
394,No candidate mentioned,1.0,yes,1.0,Negative,0.6923,None of the above,1.0,,Madhatter7611,,603,,,RT @rachelmartinart: I wonder if the #GOPDebate will address actual solutions for climate change and clean energy. #DebateWithBernie,,2015-08-07 09:51:49 -0700,629696456895692800,,Eastern Time (US & Canada)
395,Donald Trump,1.0,yes,1.0,Negative,1.0,Immigration,0.3582,,ATeichner,,9,,,"RT @vivigold197: @realDonaldTrump: misogynist, ignorant, xenophobic and greedy: another proof that money does not buy class. #GOPDebate #GO…",,2015-08-07 09:51:48 -0700,629696453376638976,"Sugar Hill, GA",Eastern Time (US & Canada)
396,No candidate mentioned,0.4089,yes,0.6395,Neutral,0.6395,Immigration,0.4089,,EusebiaAq,,0,,,@Anti_SLAVERY Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube,,2015-08-07 09:51:48 -0700,629696452952854529,America,Eastern Time (US & Canada)
397,Jeb Bush,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,Rafael_ninja68,,35,,,"RT @ImmigranNacion: @JebBush #GOPDebate #USA, seriously, would you vote for any of these CLOWNS? We NEED #CIRNow #AINF #TNTVote http://t.co…",,2015-08-07 09:51:48 -0700,629696452596486145,Virgo super cluster,
398,Donald Trump,1.0,yes,1.0,Positive,0.6897,None of the above,1.0,,Tea4Freedom,,203,,,"RT @WayneDupreeShow: Disagree all you want

#GOPDebate was hit job on @realDonaldTrump and calculated mute job on @SenTedCruz @RealBenCarso…",,2015-08-07 09:51:48 -0700,629696452462120960,Texas,Central Time (US & Canada)
399,Donald Trump,1.0,yes,1.0,Positive,0.3445,None of the above,1.0,,JohnAmato,,1,,,I actually agree with @AndreaTantaros on something. She said @realDonaldTrump didn't hurt himself in #GOPDebate and I concur.,,2015-08-07 09:51:48 -0700,629696452248252416,California,Pacific Time (US & Canada)
400,,0.2277,yes,0.3507,Neutral,0.18600000000000003,,0.2277,,funny4u2all1003,,0,,,ٌR▀█▀ 4 exotic designs for diamond rings http://t.co/9Whr8sL3Tp #YouTube http://t.co/dJb1fKJs3j #GOPDebate #Chemieunfall #Compton #Lion…,,2015-08-07 09:51:47 -0700,629696450247700480,,
401,Mike Huckabee,0.4292,yes,0.6552,Positive,0.3448,None of the above,0.4292,,melissagowens02,,66,,,RT @GovMikeHuckabee: Let's take America from Hope to Higher Ground. Will you help? --&gt; http://t.co/tky8Smc27y #ImWithHuck #GOPDebate http:/…,,2015-08-07 09:51:46 -0700,629696444098867200,,
402,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,Oh_Suzanney,,2,,,RT @AmberTozer: Just got caught up on the #GOPDebate and felt like I should write a joke about it but the biggest joke of all was the whole…,,2015-08-07 09:51:45 -0700,629696442144301056,Florida. ,Eastern Time (US & Canada)
403,Jeb Bush,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,trefolution,,9,,,RT @joshcomers: Jeb makes me want to blow rails with W before we wreck his dad’s car. #GOPDebate,,2015-08-07 09:51:44 -0700,629696438885224448,"Portland, OR",Mountain Time (US & Canada)
404,No candidate mentioned,1.0,yes,1.0,Negative,0.6732,Religion,1.0,,Auntcol54,,1,,,Keep religion out of politics! #GOPDebate,,2015-08-07 09:51:44 -0700,629696438461710336,NYC,Quito
405,No candidate mentioned,1.0,yes,1.0,Neutral,1.0,None of the above,0.679,,Tom_Myers,,0,,,The second-tier #GOPDebate participants would have had an audience if they debated Bernie Sanders.,,2015-08-07 09:51:44 -0700,629696437408923648,Baltimore,Eastern Time (US & Canada)
406,Chris Christie,1.0,yes,1.0,Negative,1.0,Abortion,1.0,,joehudsonsmall,,0,,,what is Chris Cristie on about Re: abortions? This is absurd. #GOPdebate,,2015-08-07 09:51:44 -0700,629696436423233536,"Worcester/Manchester, UK",London
407,No candidate mentioned,1.0,yes,1.0,Neutral,1.0,None of the above,1.0,,MarciJClark,,0,,,#GOPDebate Im still voting blue! http://t.co/AZyUpu6oyd,,2015-08-07 09:51:43 -0700,629696433759879169,"Glenside, PA",Eastern Time (US & Canada)
408,Chris Christie,0.4074,yes,0.6383,Negative,0.6383,None of the above,0.4074,,nikkirojo4life,,0,,,I'm eating lunch out and these two old ladies discussing the #GOPDebate is giving me life. They shading shit outta Christie and Trump.,,2015-08-07 09:51:43 -0700,629696433504002048,New York,America/New_York
409,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Women's Issues (not abortion though),0.6667,,MacManX,,138,,,RT @Ali_Davis: Tonight's #GOPDebate was an important reminder that these guys think of women as carrying cases for fetuses.,,2015-08-07 09:51:42 -0700,629696429770960897,"California, USA",Pacific Time (US & Canada)
410,No candidate mentioned,0.6469,yes,1.0,Positive,0.6936,Religion,0.6469,,maeflowerzzz,,3469,,,"RT @RealBenCarson: May the Lord guide my words tonight, let His wisdom be my thoughts. #GOPDebate",,2015-08-07 09:51:42 -0700,629696429443952640,USA,Eastern Time (US & Canada)
411,John Kasich,0.6897,yes,1.0,Neutral,0.6897,LGBT issues,1.0,,ColdSober787,,24,,,"RT @TheJimHughes: Note to Kasich - the question wasn't about ""love"" it was about ""gay marriage"" #TheBigDodge #GOPDebate",,2015-08-07 09:51:42 -0700,629696429175369728,Oregon,Arizona
412,No candidate mentioned,0.405,yes,0.6364,Negative,0.6364,None of the above,0.405,,mirikuincognito,,690,,,RT @Squintz1983: #GOPDebate pretty much http://t.co/fHg7FmG42d,,2015-08-07 09:51:42 -0700,629696427682168832,,Arizona
413,Donald Trump,0.6339,yes,1.0,Neutral,0.6818,None of the above,0.6844,,Alisand3,,12,,,"RT @palmaceiahome1: Rush Limbaugh to Megyn Kelly ""I know no Democrat Candidate would be treated the way Megyn Kelly treated Trump."" #FoxNew…",,2015-08-07 09:51:41 -0700,629696422753865728,The land of Fruits and Nuts,Pacific Time (US & Canada)
414,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,rainevals,,3403,,,RT @deray: Trump literally said that he donates to politicians and then calls them later to get what he wants. He literally just said that.…,,2015-08-07 09:51:39 -0700,629696415317397504,Salem Oregon,
415,No candidate mentioned,0.4173,yes,0.6459999999999999,Neutral,0.6459999999999999,None of the above,0.4173,,Hosdoclaxer,,242,,,"RT @itsWillyFerrell: Meanwhile, back at the White House...  #GOPDebate http://t.co/Un7gNNUhB7",,2015-08-07 09:51:38 -0700,629696413744693248,,
416,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,sodaaccident,,0,,,"#GOPDebate none of the presidential candidates brought a fucking gom jabbar, i mean at least liven up your crazy",,2015-08-07 09:51:38 -0700,629696413555818496,"El Paso, Texas",
417,Donald Trump,1.0,yes,1.0,Neutral,0.625,None of the above,1.0,,gingerbeardydan,,951,,,RT @_youhadonejob: Donald Trumps hair arrives early for the Republican Party presidential debate. #GOPDebate http://t.co/cQuPKRyBse,,2015-08-07 09:51:38 -0700,629696412901605376,"Paisley, Scotland",Amsterdam
418,Mike Huckabee,0.4599,yes,0.6782,Positive,0.6782,None of the above,0.4599,,melissagowens02,,200,,,"RT @GovMikeHuckabee: ""He was just so eloquent...He knew what he was saying. He believed what he was saying."" #ImWithHuck #GOPDebate
https:/…",,2015-08-07 09:51:38 -0700,629696412045963264,,
419,No candidate mentioned,0.4589,yes,0.6774,Neutral,0.6774,None of the above,0.4589,,lexinerus,,0,,,ReTw EmotientInc: Emotion-Reading Technology First &amp; Only To Analyze Audience Reactions To #GOPDebate: … http://t.co/DKBgXzQxHp,,2015-08-07 09:51:37 -0700,629696407688056835,"Cali, Colombia",Central Time (US & Canada)
420,Scott Walker,1.0,yes,1.0,Negative,1.0,None of the above,0.6852,,Pworldawg,,531,,,RT @TheBaxterBean: Fact-Checkers Proved Scott Walker Literally Lies More Often Than He Tells The Truth http://t.co/KeOeBNRWGU #GOPDebate ht…,,2015-08-07 09:51:36 -0700,629696405632872448,,
421,No candidate mentioned,0.4307,yes,0.6562,Negative,0.6562,None of the above,0.4307,,crazycarl864,,2400,,,RT @pattonoswalt: I want @BernieSanders to quietly walk out onto this stage and five-point-palm-exploding-heart all these hollow beasts. #G…,,2015-08-07 09:51:36 -0700,629696403783176193,"Columbus, OH",
422,Donald Trump,1.0,yes,1.0,Positive,1.0,None of the above,1.0,,gambling3NT,,0,,,"#GOPDebate Debate was good once they quit throwing crap at @realDonaldTrump and got substantive.  Candidates handled the ""gotcha"" questions.",,2015-08-07 09:51:36 -0700,629696403258773504,colorado,
423,No candidate mentioned,0.3974,yes,0.6304,Negative,0.6304,,0.233,,JoMadRam,,120,,,RT @BRios82: These clowns didn't even tackle Climate change. They didn't mention Inequality at all. Are you surprised? #GOPDebate http://t.…,,2015-08-07 09:51:36 -0700,629696401807544320,"Fort Worth, TX",
424,No candidate mentioned,0.4494,yes,0.6704,Negative,0.34600000000000003,None of the above,0.4494,,joogey,,457,,,RT @pattonoswalt: Are they going to ask Lenny Kravitz's penis ONE question? This is very disrespectful. #GOPDebate,,2015-08-07 09:51:35 -0700,629696400155111425,new orleans&york,Eastern Time (US & Canada)
425,Donald Trump,1.0,yes,1.0,Positive,0.6769,None of the above,1.0,,Matthew_Ford92,,0,,,So who watched the GOP Debate last night and saw Trump #DonaldTrump #GOPDebate @realDonaldTrump #TrumpForPresident,,2015-08-07 09:51:35 -0700,629696397667921920,"USA, North Carolina ",
426,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,0.7033,,CWJ522,,0,,,"#FactChecking the #GOPDebate 
http://t.co/N72RUBXxcv
Unsurprising-but-massive levels of lies and truth-stretching and general bullshittery.",,2015-08-07 09:51:34 -0700,629696393653977088,"Franklin, NH",Central Time (US & Canada)
427,No candidate mentioned,1.0,yes,1.0,Negative,0.6598,FOX News or Moderators,1.0,,JERSEYFL1,,0,,,Wonder how much of tonight's #@megynkelly show will be about her  #GOPDebate #FoxNews,,2015-08-07 09:51:33 -0700,629696392940748800,,
428,No candidate mentioned,1.0,yes,1.0,Positive,0.6725,Abortion,1.0,,VeraTMD,,15,,,RT @chooseliferacer: #GOPDebate Never lose focus on the truly important issues #DefundPP &amp; #PraytoEndAbortion http://t.co/OxIoW3YjS4,,2015-08-07 09:51:33 -0700,629696392898818048,,Central Time (US & Canada)
429,Donald Trump,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,0.6667,,rashid7053,,28,,,RT @3ChicsPolitico: Trump calling @megynkelly a bimbo is reprehensible. This is about choosing a candidate for president NOT the Jerry Spri…,,2015-08-07 09:51:33 -0700,629696391674081280,San Diego,Atlantic Time (Canada)
430,No candidate mentioned,1.0,yes,1.0,Neutral,0.6905,None of the above,1.0,,chvsr,,0,,,#Repeal was the word of the night. #GOPDebate,,2015-08-07 09:51:33 -0700,629696391665852416,DC,America/New_York
431,No candidate mentioned,0.3681,yes,0.6067,Negative,0.3146,Gun Control,0.3681,,areebalovesyou,,1695,,,"RT @rebleber: Not mentioned in the #GOPdebate:
Voting rights
Climate change
Gun violence
Police shootings
Student debt
Inequality",,2015-08-07 09:51:33 -0700,629696390831149056,,
432,No candidate mentioned,0.4642,yes,0.6813,Negative,0.3516,FOX News or Moderators,0.2396,,CourageLeads,,211,,,RT @CarlyFiorina: It’s almost time! Tune into @FoxNews at 5:00 p.m. EDT #GOPDebate #Carly2016 http://t.co/hEV7fe4HhR,,2015-08-07 09:51:32 -0700,629696385605050368,,Eastern Time (US & Canada)
433,No candidate mentioned,0.4259,yes,0.6526,Positive,0.3368,None of the above,0.4259,,opticalens,,0,,,This is an amazing degree of commitment to a running joke http://t.co/VpxxlxEvHi #GOPdebate #photobomb,,2015-08-07 09:51:32 -0700,629696385311506432,Seattle,Pacific Time (US & Canada)
434,Mike Huckabee,0.6667,yes,1.0,Positive,1.0,None of the above,0.6667,,melissagowens02,,70,,,"RT @GovMikeHuckabee: .@FoxNews focus group: ""He was very articulate, very relatable, &amp; made a lot of good points."" #ImWithHuck #GOPDebate
h…",,2015-08-07 09:51:31 -0700,629696384585867264,,
435,Donald Trump,0.4274,yes,0.6538,Negative,0.6538,None of the above,0.4274,,DemocraShe,,4,,,RT @TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/88QwTnPuIR,,2015-08-07 09:51:31 -0700,629696383147212800,"Jamaica Plain, MA",Atlantic Time (Canada)
436,No candidate mentioned,0.2265,yes,0.6592,Neutral,0.3436,Foreign Policy,0.2265,,Hornet238,,2,,,"RT @BraveConWarrior: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/T7MGjn2vEr""",,2015-08-07 09:51:30 -0700,629696376503308288,Fema Region V,Pacific Time (US & Canada)
437,Mike Huckabee,1.0,yes,1.0,Negative,0.6854,None of the above,0.3483,,heatheremoore,,0,,,#GOP wants to #DefundPP and #Huckabee wants to legalize prostitution and drugs.  #GOPdebate,,2015-08-07 09:51:29 -0700,629696373156286469,"Olympia, WA",Pacific Time (US & Canada)
438,Jeb Bush,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,Spence4782,,0,,,"Favorite Jeb line ""taking on the teacher's unions, and beating them"" sure that empowers kids disenfranchise the ones who teach em #GOPDebate",,2015-08-07 09:51:27 -0700,629696367133265920,"Lawton, Oklahoma",
439,No candidate mentioned,1.0,yes,1.0,Negative,0.6986,None of the above,1.0,,PatriciaMilton,,172,,,RT @britt27ash: Current mood re: #GOPDebate http://t.co/GFSNEDXEoj,,2015-08-07 09:51:27 -0700,629696365740691456,,Hawaii
440,Mike Huckabee,1.0,yes,1.0,Negative,1.0,None of the above,0.3523,,TheDonkeyHotey,,0,,,"If the newest b52 was built in the 60s like Huckabee complained, doesn't that mean St. Ronnie should have built more? #GOPDebate",,2015-08-07 09:51:26 -0700,629696360003043328,,Eastern Time (US & Canada)
441,No candidate mentioned,1.0,yes,1.0,Neutral,0.6591,FOX News or Moderators,1.0,,davidhe46361805,,84,,,"RT @WayneDupreeShow: Maybe on the next #KellyFile @MegynKelly will go after @krauthammer 20 year positions because he switched parties too
…",,2015-08-07 09:51:25 -0700,629696357171728384,Fremont.Ca,
442,No candidate mentioned,0.4594,yes,0.6778,Negative,0.6778,Foreign Policy,0.4594,,alleysunjune,,14,,,RT @G_Humbertson: Perry says he would rather send @CarlyFiorina to negotiate with Iran than John Kerry. #GOPDebate,,2015-08-07 09:51:25 -0700,629696355976507392,,Eastern Time (US & Canada)
443,Donald Trump,0.6784,yes,1.0,Positive,0.6765,FOX News or Moderators,1.0,,jamesbarnes2,,0,,,"NOT A FAN OF #FoxNews @megynkelly but she deserves better than to be called BIMBO by #lDonaldTrump for doing her job

#GOPDebate #UniteBlue",,2015-08-07 09:51:24 -0700,629696352734216192,"Phoenix, Arizona",America/Phoenix
444,No candidate mentioned,1.0,yes,1.0,Positive,0.6804,None of the above,1.0,,fitsnews,,0,,,Excellent post-GOP debate analysis from my friend @rmanning957 of @LimitGovt ... http://t.co/gIUogvMNNc #GOPDebate,,2015-08-07 09:51:23 -0700,629696348254679040,"Columbia, South Carolina",Eastern Time (US & Canada)
445,No candidate mentioned,0.4399,yes,0.6633,Negative,0.6633,None of the above,0.4399,,ragingredhed,,452,,,RT @RachLWhitehurst: I can't tell if these are just bad cramps or my uterus trying to flee the country as I watch the #GOPDebate,,2015-08-07 09:51:22 -0700,629696347105431552,,Central Time (US & Canada)
446,No candidate mentioned,1.0,yes,1.0,Negative,0.6582,FOX News or Moderators,1.0,,jediane9,,762,,,"RT @kumailn: And now the realization dawns on us. ""Holy shit. I've been watching Fox News."" #GOPDebate",,2015-08-07 09:51:22 -0700,629696345771675652,"Golden Valley, MN",Central Time (US & Canada)
447,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,libertyjibbet,,1,,,"Hey .@realDonaldTrump You know who didn't whine about ""unfair"" questions? @CarlyFiorina Grow a set why don't ya'. #GOPDebate",,2015-08-07 09:51:21 -0700,629696342563000320,United States of America,Central Time (US & Canada)
448,No candidate mentioned,0.4853,yes,0.6966,Positive,0.6966,None of the above,0.4853,,PlatinumB_RICH,,7,,,RT @WhoIsSizzle: Hillary spent the #GOPDebate with Kim and Kanye ... This is what I love to see http://t.co/H9T0a4IJxX http://t.co/KqS216nB…,,2015-08-07 09:51:21 -0700,629696340726050816,"In a corner, SCREAMING!!!",Amsterdam
449,John Kasich,1.0,yes,1.0,Negative,0.6742,None of the above,1.0,,StuartJOrr,,0,,,John Kasich seems like a decent guy shame he'll drowned out by the loonies in the #GOP #GOPDebate,,2015-08-07 09:51:19 -0700,629696333369212928,"Glasgow, Scotland",Edinburgh
450,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,0.6667,,Txwolfpackbride,,137,,,RT @feministabulous: My feelings about Trump after #GOPDebate: http://t.co/bKuz2OiamE,,2015-08-07 09:51:18 -0700,629696329661308928,,
451,No candidate mentioned,1.0,yes,1.0,Negative,0.7127,None of the above,0.6614,,primadonna68,,560,,,"RT @deray: In the end, Bingo! #GOPDebate http://t.co/xul0Y2qXp6",,2015-08-07 09:51:18 -0700,629696326750597120,Wherever Carmen Sandiago is.,
452,Chris Christie,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,TimothyMPate,,0,,,"Chris Christie said he was appointed U.S. Attorney Sept. 10, 2001. He was actually appointed Dec. 7, 2001. #GOPDebate http://t.co/8Y8GkqTnvK",,2015-08-07 09:51:17 -0700,629696324817027072,"Saint Paul, MN",
453,Chris Christie,0.3819,yes,0.618,Negative,0.618,None of the above,0.3819,,SD_Zach,,0,,,Chris Christie fundamentally misunderstands the 4th amendment &amp; got owned by @RandPaul over NSA: http://t.co/XawzzRHVFi #GOPDebate,,2015-08-07 09:51:17 -0700,629696323281817601,"San Diego, CA",Pacific Time (US & Canada)
454,No candidate mentioned,0.4265,yes,0.6531,Negative,0.6531,,0.2266,,mojaavi,,227,,,"RT @cmclymer: Fun Fact: in this party of super patriots, not a single candidate on stage has served a day in the military.

#GOPDebate",,2015-08-07 09:51:15 -0700,629696317518798848,,Arizona
455,No candidate mentioned,1.0,yes,1.0,Neutral,1.0,None of the above,1.0,,AbehoSooh,,25,,,RT @RealAlexJones: '@RealAlexJones will be taking twitter questions on #GOPdebate in 3rd hr of today's show. Watch live 11am-2pm ct: http:/…,,2015-08-07 09:51:15 -0700,629696316914933760,,
456,No candidate mentioned,1.0,yes,1.0,Neutral,0.7059,None of the above,1.0,,MacManX,,458,,,"RT @kelkulus: SURPRISE TWIST: Kevin Spacey appears on stage, taps his ring on the podium, then pushes all 10 candidates in front of a train…",,2015-08-07 09:51:15 -0700,629696315274870784,"California, USA",Pacific Time (US & Canada)
457,Donald Trump,1.0,yes,1.0,Neutral,0.6703,None of the above,0.6703,,marcannem96,,0,,,"@exjon @EssmailPatricia @CuffyMeh 
Trump supporters threaten to take Nerf ball home after hard hit.
#GOPDebate #TrumpsPeePeehurts",,2015-08-07 09:51:14 -0700,629696313416769537,"Houston, TX",
